,open,high,low,close,volume,vwap,timestamp,transactions,otc,dt,stk_close,iv
66,4.75,4.8,4.75,4.75,22,4.7523,1748014980000,3,,2025-05-23 15:43:00,196.83,0.35754424440009447
67,4.75,4.75,4.52,4.52,16,4.6006,1748015100000,5,,2025-05-23 15:45:00,196.44,0.35721568526193825
68,4.5,4.5,4.5,4.5,4,4.5,1748015160000,3,,2025-05-23 15:46:00,196.432,0.3557413391986577
69,4.53,4.53,4.53,4.53,1,4.53,1748015220000,1,,2025-05-23 15:47:00,196.4797,0.35601954223513665
70,4.5,4.5,4.46,4.46,7,4.4714,1748015280000,2,,2025-05-23 15:48:00,196.4301,0.35201092506180154
71,4.45,4.45,4.45,4.45,20,4.45,1748015400000,2,,2025-05-23 15:50:00,196.26,0.36042972170424514
72,4.34,4.36,4.34,4.36,20,4.347,1748015460000,6,,2025-05-23 15:51:00,196.1797,0.35612080180057215
73,4.3,4.33,4.3,4.31,6,4.3167,1748015520000,3,,2025-05-23 15:52:00,196.0701,0.3572252742854546
74,4.26,4.3,4.25,4.3,8,4.2587,1748015580000,4,,2025-05-23 15:53:00,196.0,0.3600297357668818
75,4.26,4.26,4.25,4.25,2,4.255,1748015640000,2,,2025-05-23 15:54:00,196.18,0.3455385346958919
76,4.38,4.38,4.38,4.38,1,4.38,1748015700000,1,,2025-05-23 15:55:00,196.1944,0.35733139593204355
77,4.35,4.36,4.35,4.35,40,4.3505,1748015760000,4,,2025-05-23 15:56:00,196.23,0.3525171329983722
78,4.45,4.45,4.45,4.45,1,4.45,1748015820000,1,,2025-05-23 15:57:00,196.19,0.3643672648634283
79,4.4,4.4,4.4,4.4,37,4.4,1748015880000,1,,2025-05-23 15:58:00,196.2731,0.35503610393512075
80,4.39,4.4,4.39,4.4,22,4.3909,1748015940000,2,,2025-05-23 15:59:00,196.2001,0.3590305002180957
81,4.48,4.48,4.48,4.48,1,4.48,1748016000000,1,,2025-05-23 16:00:00,196.34,0.35914676878469576
82,4.45,4.45,4.45,4.45,1,4.45,1748016120000,1,,2025-05-23 16:02:00,196.55,0.34460843677021236
83,4.59,4.59,4.59,4.59,10,4.59,1748016180000,1,,2025-05-23 16:03:00,196.59,0.3559805582886302
84,4.25,4.28,4.25,4.25,6,4.2583,1748016240000,4,,2025-05-23 16:04:00,195.91,0.3602058616425101
85,4.23,4.25,4.2,4.21,41,4.2041,1748016300000,8,,2025-05-23 16:05:00,195.8202,0.3611085721386459
86,4.24,4.28,4.23,4.23,15,4.242,1748016360000,4,,2025-05-23 16:06:00,195.93,0.35725732431708934
87,4.25,4.25,4.22,4.22,45,4.2433,1748016420000,2,,2025-05-23 16:07:00,195.94,0.3557817430109207
88,4.28,4.28,4.2,4.25,86,4.25,1748016480000,10,,2025-05-23 16:08:00,195.99,0.3560312628344572
89,4.37,4.37,4.3,4.34,15,4.3453,1748016540000,4,,2025-05-23 16:09:00,196.005,0.363929273594081
90,4.3,4.3,4.1,4.17,27,4.1304,1748016660000,15,,2025-05-23 16:11:00,195.77,0.3600059648852304
91,4.2,4.25,4.15,4.22,34,4.2138,1748016720000,15,,2025-05-23 16:12:00,195.975,0.35401425815539544
92,4.25,4.25,4.18,4.23,10,4.241,1748016780000,4,,2025-05-23 16:13:00,195.89,0.3595107497071971
93,4.22,4.3,4.22,4.3,2,4.26,1748016840000,2,,2025-05-23 16:14:00,195.9341,0.36394144886799085
94,4.2,4.22,4.2,4.22,2,4.21,1748016900000,2,,2025-05-23 16:15:00,196.02,0.3516663234634718
95,4.3,4.3,4.3,4.3,10,4.3,1748016960000,6,,2025-05-23 16:16:00,195.93,0.3641979634564336
96,4.19,4.2,4.1,4.18,98,4.1501,1748017020000,31,,2025-05-23 16:17:00,195.87,0.3558259408030383
97,4.15,4.15,4.15,4.15,1,4.15,1748017140000,1,,2025-05-23 16:19:00,195.83,0.35508299761009066
98,4.15,4.25,4.1,4.25,104,4.1346,1748017200000,25,,2025-05-23 16:20:00,195.98,0.35679434417698785
99,4.18,4.18,4.18,4.18,9,4.18,1748017380000,1,,2025-05-23 16:23:00,195.97,0.35062995491403603
